dt,AverageTemperature,AverageTemperatureUncertainty
2000-12-31,19.286838575004523,0.3383429864253394
2001-12-31,19.35399920777174,0.349375
2002-12-31,19.441489042367827,0.33812155445097153
2003-12-31,19.421134441772953,0.37350927182270466
2004-12-31,19.300465092977856,0.34776457297785807
2005-12-31,19.35335967922207,0.32831252826775215
2006-12-31,19.450868891746605,0.35771945701357466
2007-12-31,19.516353054642533,0.330631221719457
2008-12-31,19.347559787866185,0.32699502712477396
2009-12-31,19.451129466648574,0.3441279963817277
2010-12-31,19.580788871604714,0.336564369900272
2011-12-31,19.3932595069081,0.3584884563150747
2012-12-31,19.399913867798457,0.4529105764866092
2013-12-31,19.497368499636803,0.5867383697336561
