_id,Protocol,Department Longname,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e)
419,ICLEI: Local Government Operations Protocol,Library,2,1,2006,734.5620852323838
420,ICLEI: Local Government Operations Protocol,Library,2,1,2007,734.5620852323838
421,ICLEI: Local Government Operations Protocol,Library,2,1,2008,734.5620852323838
422,ICLEI: Local Government Operations Protocol,Library,2,1,2009,734.5620852323838
423,ICLEI: Local Government Operations Protocol,Library,2,1,2010,734.5620852323838
424,ICLEI: Local Government Operations Protocol,Library,2,1,2011,734.5620852323838
425,ICLEI: Local Government Operations Protocol,Library,2,1,2012,4.0
426,ICLEI: Local Government Operations Protocol,Library,2,1,2013,734.5620852323838
427,ICLEI: Local Government Operations Protocol,Library,2,1,2014,734.5620852323838
428,ICLEI: Local Government Operations Protocol,Library,2,1,2015,734.5620852323838
429,ICLEI: Local Government Operations Protocol,Library,2,1,2016,2.0
430,ICLEI: Local Government Operations Protocol,Library,2,1,2017,2.0
431,ICLEI: Local Government Operations Protocol,Library,2,1,2018,2.0
432,ICLEI: Local Government Operations Protocol,Library,2,1,2019,734.5620852323838
433,ICLEI: Local Government Operations Protocol,Library,2,1,2020,734.5620852323838
434,ICLEI: Local Government Operations Protocol,Library,2,1,2021,0.0
435,ICLEI: Local Government Operations Protocol,Library,0,2,2005,734.5620852323838
436,ICLEI: Local Government Operations Protocol,Library,0,2,2006,734.5620852323838
437,ICLEI: Local Government Operations Protocol,Library,0,2,2007,734.5620852323838
438,ICLEI: Local Government Operations Protocol,Library,0,2,2008,734.5620852323838
439,ICLEI: Local Government Operations Protocol,Library,0,2,2009,734.5620852323838
440,ICLEI: Local Government Operations Protocol,Library,0,2,2010,734.5620852323838
441,ICLEI: Local Government Operations Protocol,Library,0,2,2011,734.5620852323838
442,ICLEI: Local Government Operations Protocol,Library,0,2,2012,734.5620852323838
443,ICLEI: Local Government Operations Protocol,Library,0,2,2013,734.5620852323838
444,ICLEI: Local Government Operations Protocol,Library,0,2,2014,734.5620852323838
445,ICLEI: Local Government Operations Protocol,Library,0,2,2015,734.5620852323838
446,ICLEI: Local Government Operations Protocol,Library,0,2,2016,734.5620852323838
450,ICLEI: Local Government Operations Protocol,Library,0,2,2020,734.5620852323838
451,ICLEI: Local Government Operations Protocol,Library,0,2,2021,734.5620852323838
452,ICLEI: Local Government Operations Protocol,Library,0,3,2005,178.0
453,ICLEI: Local Government Operations Protocol,Library,0,3,2006,210.0
454,ICLEI: Local Government Operations Protocol,Library,0,3,2007,206.0
455,ICLEI: Local Government Operations Protocol,Library,0,3,2008,179.0
456,ICLEI: Local Government Operations Protocol,Library,0,3,2009,48.0
457,ICLEI: Local Government Operations Protocol,Library,0,3,2010,734.5620852323838
458,ICLEI: Local Government Operations Protocol,Library,0,3,2011,734.5620852323838
459,ICLEI: Local Government Operations Protocol,Library,0,3,2012,734.5620852323838
460,ICLEI: Local Government Operations Protocol,Library,0,3,2013,734.5620852323838
461,ICLEI: Local Government Operations Protocol,Library,0,3,2014,734.5620852323838
462,ICLEI: Local Government Operations Protocol,Library,0,3,2015,734.5620852323838
463,ICLEI: Local Government Operations Protocol,Library,0,3,2016,734.5620852323838
464,ICLEI: Local Government Operations Protocol,Library,0,3,2017,734.5620852323838
465,ICLEI: Local Government Operations Protocol,Library,0,3,2018,734.5620852323838
466,ICLEI: Local Government Operations Protocol,Library,0,3,2019,734.5620852323838
467,ICLEI: Local Government Operations Protocol,Library,0,3,2020,734.5620852323838
468,ICLEI: Local Government Operations Protocol,Library,0,3,2021,0.0
469,ICLEI: Local Government Operations Protocol,Library,3,4,2005,54.0
470,ICLEI: Local Government Operations Protocol,Library,3,4,2006,54.0
471,ICLEI: Local Government Operations Protocol,Library,3,4,2007,54.0
472,ICLEI: Local Government Operations Protocol,Library,3,4,2008,51.0
473,ICLEI: Local Government Operations Protocol,Library,3,4,2009,48.0
474,ICLEI: Local Government Operations Protocol,Library,3,4,2010,28.0
475,ICLEI: Local Government Operations Protocol,Library,3,4,2011,38.0
476,ICLEI: Local Government Operations Protocol,Library,3,4,2012,43.0
477,ICLEI: Local Government Operations Protocol,Library,3,4,2013,49.0
478,ICLEI: Local Government Operations Protocol,Library,3,4,2014,53.0
479,ICLEI: Local Government Operations Protocol,Library,3,4,2015,734.5620852323838
480,ICLEI: Local Government Operations Protocol,Library,3,4,2016,734.5620852323838
481,ICLEI: Local Government Operations Protocol,Library,3,4,2017,734.5620852323838
482,ICLEI: Local Government Operations Protocol,Library,3,4,2018,734.5620852323838
483,ICLEI: Local Government Operations Protocol,Library,3,4,2019,734.5620852323838
484,ICLEI: Local Government Operations Protocol,Library,3,4,2020,734.5620852323838
485,ICLEI: Local Government Operations Protocol,Library,3,4,2021,0.0
486,ICLEI: Local Government Operations Protocol,Library,0,5,2005,955.0
487,ICLEI: Local Government Operations Protocol,Library,0,5,2006,920.0
488,ICLEI: Local Government Operations Protocol,Library,0,5,2007,734.5620852323838
489,ICLEI: Local Government Operations Protocol,Library,0,5,2008,910.0
490,ICLEI: Local Government Operations Protocol,Library,0,5,2009,882.0
491,ICLEI: Local Government Operations Protocol,Library,0,5,2010,734.5620852323838
492,ICLEI: Local Government Operations Protocol,Library,0,5,2011,900.0
493,ICLEI: Local Government Operations Protocol,Library,0,5,2012,745.0
494,ICLEI: Local Government Operations Protocol,Library,0,5,2013,812.0
495,ICLEI: Local Government Operations Protocol,Library,0,5,2014,752.0
496,ICLEI: Local Government Operations Protocol,Library,0,5,2015,993.0
497,ICLEI: Local Government Operations Protocol,Library,0,5,2016,870.0
498,ICLEI: Local Government Operations Protocol,Library,0,5,2017,806.0
499,ICLEI: Local Government Operations Protocol,Library,0,5,2018,823.0
500,ICLEI: Local Government Operations Protocol,Library,0,5,2019,773.0
501,ICLEI: Local Government Operations Protocol,Library,0,5,2020,627.0
502,ICLEI: Local Government Operations Protocol,Library,0,5,2021,734.5620852323838
503,ICLEI: Local Government Operations Protocol,Library,0,7,2005,734.5620852323838
504,ICLEI: Local Government Operations Protocol,Library,0,7,2006,734.5620852323838
505,ICLEI: Local Government Operations Protocol,Library,0,7,2007,734.5620852323838
506,ICLEI: Local Government Operations Protocol,Library,0,7,2008,734.5620852323838
507,ICLEI: Local Government Operations Protocol,Library,0,7,2009,734.5620852323838
508,ICLEI: Local Government Operations Protocol,Library,0,7,2010,734.5620852323838
509,ICLEI: Local Government Operations Protocol,Library,0,7,2011,734.5620852323838
510,ICLEI: Local Government Operations Protocol,Library,0,7,2012,734.5620852323838
511,ICLEI: Local Government Operations Protocol,Library,0,7,2013,734.5620852323838
512,ICLEI: Local Government Operations Protocol,Library,0,7,2014,734.5620852323838
513,ICLEI: Local Government Operations Protocol,Library,0,7,2015,734.5620852323838
514,ICLEI: Local Government Operations Protocol,Library,0,7,2016,734.5620852323838
518,ICLEI: Local Government Operations Protocol,Library,0,7,2020,734.5620852323838
519,ICLEI: Local Government Operations Protocol,Library,0,7,2021,734.5620852323838
520,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2005,135.0
521,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2006,65.0
522,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2007,69.0
523,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2008,60.0
524,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2009,59.0
525,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2010,74.0
526,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2011,95.0
527,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2012,75.0
528,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2013,39.0
529,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2014,47.0
530,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2015,5.0
531,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2016,3.0
532,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2017,3.0
533,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2018,45.0
534,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2019,37.0
535,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2020,23.0
536,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,2,2021,35.52
537,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2005,734.5620852323838
538,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2006,734.5620852323838
539,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2007,734.5620852323838
540,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2008,734.5620852323838
541,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2009,734.5620852323838
542,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2010,734.5620852323838
543,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2011,82.0
544,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2012,12.0
545,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2013,734.5620852323838
546,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2014,734.5620852323838
547,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2015,734.5620852323838
548,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2016,734.5620852323838
549,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2017,734.5620852323838
550,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2018,734.5620852323838
551,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2019,734.5620852323838
552,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2020,734.5620852323838
553,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,3,2021,0.0
554,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2005,734.5620852323838
555,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2006,734.5620852323838
556,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2007,734.5620852323838
557,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2008,30.0
558,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2009,28.0
559,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2010,27.0
560,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2011,29.0
561,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2012,18.0
562,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2013,10.0
563,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2014,5.0
564,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2015,734.5620852323838
565,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2016,734.5620852323838
566,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2017,734.5620852323838
567,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2018,734.5620852323838
568,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2019,734.5620852323838
569,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2020,0.0
570,ICLEI: Local Government Operations Protocol,Neighborhood Development,3,4,2021,0.0
571,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2005,734.5620852323838
572,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2006,734.5620852323838
573,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2007,734.5620852323838
574,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2008,734.5620852323838
575,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2009,103.0
576,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2010,127.0
577,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2011,242.0
578,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2012,164.0
579,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2013,198.0
580,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2014,281.0
581,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2015,3.0
582,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2016,57.0
583,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2017,53.0
584,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2018,319.0
585,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2019,293.0
586,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2020,193.0
587,ICLEI: Local Government Operations Protocol,Neighborhood Development,0,5,2021,28.5
588,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,0,2018,12.0
589,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,0,2019,734.5620852323838
590,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,0,2020,734.5620852323838
591,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,0,2021,0.0
592,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2005,523.0
593,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2006,507.0
594,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2007,474.0
595,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2008,561.0
596,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2009,624.0
597,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2010,689.0
598,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2011,626.0
599,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2012,661.0
600,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2013,621.0
601,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2014,528.0
602,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2015,523.0
603,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2016,447.0
604,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2017,261.0
605,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2018,240.0
606,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2019,113.0
607,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2020,157.0
608,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,1,2021,16.81
609,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2005,734.5620852323838
610,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2006,734.5620852323838
611,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2007,734.5620852323838
612,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2008,734.5620852323838
613,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2009,734.5620852323838
614,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2010,734.5620852323838
615,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2011,734.5620852323838
616,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2012,734.5620852323838
617,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2013,734.5620852323838
618,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2014,734.5620852323838
619,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2015,734.5620852323838
620,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2016,734.5620852323838
621,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2017,1119.0
622,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2018,1183.0
623,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2019,1175.0
624,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2020,734.5620852323838
625,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,2,2021,734.5620852323838
626,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2005,200.0
627,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2006,200.0
628,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2007,169.0
629,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2008,227.0
630,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2009,274.0
631,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2010,238.0
632,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2011,287.0
633,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2012,239.0
634,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2013,251.0
635,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2014,290.0
636,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2015,207.0
637,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2016,181.0
638,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2017,235.0
639,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2018,320.0
640,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2019,356.0
641,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2020,357.0
642,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,3,2021,334.96
643,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2005,205.0
644,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2006,120.0
645,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2007,377.0
646,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2008,498.0
647,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2009,503.0
648,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2010,480.0
649,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2011,477.0
650,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2012,597.0
651,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2013,515.0
652,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2014,478.0
653,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2015,639.0
654,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2016,651.0
655,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2017,663.0
656,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2018,718.0
657,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2019,524.0
658,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2020,538.0
659,ICLEI: Local Government Operations Protocol,Parks and Recreation,3,4,2021,768.89
660,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2005,554.0
661,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2006,422.0
662,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2007,377.0
663,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2008,380.0
664,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2009,376.0
665,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2010,323.0
666,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2011,350.0
667,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2012,311.0
668,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2013,336.0
669,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2014,396.0
670,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2015,472.0
671,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2016,399.0
672,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2017,341.0
673,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2018,535.0
674,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2019,439.0
675,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2020,407.0
676,ICLEI: Local Government Operations Protocol,Parks and Recreation,0,5,2021,476.22
677,ICLEI: Local Government Operations Protocol,Police,3,1,2005,734.5620852323838
678,ICLEI: Local Government Operations Protocol,Police,3,1,2006,2.0
679,ICLEI: Local Government Operations Protocol,Police,3,1,2007,734.5620852323838
680,ICLEI: Local Government Operations Protocol,Police,3,1,2008,49.0
681,ICLEI: Local Government Operations Protocol,Police,3,1,2009,41.0
682,ICLEI: Local Government Operations Protocol,Police,3,1,2010,41.0
683,ICLEI: Local Government Operations Protocol,Police,3,1,2011,35.0
684,ICLEI: Local Government Operations Protocol,Police,3,1,2012,48.0
685,ICLEI: Local Government Operations Protocol,Police,3,1,2013,67.0
686,ICLEI: Local Government Operations Protocol,Police,3,1,2014,92.0
687,ICLEI: Local Government Operations Protocol,Police,3,1,2015,734.5620852323838
688,ICLEI: Local Government Operations Protocol,Police,3,1,2016,4.0
689,ICLEI: Local Government Operations Protocol,Police,3,1,2017,7.0
690,ICLEI: Local Government Operations Protocol,Police,3,1,2018,2.0
691,ICLEI: Local Government Operations Protocol,Police,3,1,2019,10.0
692,ICLEI: Local Government Operations Protocol,Police,3,1,2020,45.0
693,ICLEI: Local Government Operations Protocol,Police,3,1,2021,20.86
694,ICLEI: Local Government Operations Protocol,Police,0,2,2005,734.5620852323838
695,ICLEI: Local Government Operations Protocol,Police,0,2,2006,734.5620852323838
696,ICLEI: Local Government Operations Protocol,Police,0,2,2007,734.5620852323838
697,ICLEI: Local Government Operations Protocol,Police,0,2,2008,734.5620852323838
698,ICLEI: Local Government Operations Protocol,Police,0,2,2009,734.5620852323838
699,ICLEI: Local Government Operations Protocol,Police,0,2,2010,734.5620852323838
700,ICLEI: Local Government Operations Protocol,Police,0,2,2011,734.5620852323838
701,ICLEI: Local Government Operations Protocol,Police,0,2,2012,734.5620852323838
702,ICLEI: Local Government Operations Protocol,Police,0,2,2013,734.5620852323838
703,ICLEI: Local Government Operations Protocol,Police,0,2,2014,734.5620852323838
704,ICLEI: Local Government Operations Protocol,Police,0,2,2015,734.5620852323838
705,ICLEI: Local Government Operations Protocol,Police,0,2,2016,734.5620852323838
709,ICLEI: Local Government Operations Protocol,Police,0,2,2020,734.5620852323838
710,ICLEI: Local Government Operations Protocol,Police,0,2,2021,734.5620852323838
711,ICLEI: Local Government Operations Protocol,Police,0,3,2005,538.0
712,ICLEI: Local Government Operations Protocol,Police,0,3,2006,420.0
713,ICLEI: Local Government Operations Protocol,Police,0,3,2007,373.0
714,ICLEI: Local Government Operations Protocol,Police,0,3,2008,347.0
715,ICLEI: Local Government Operations Protocol,Police,0,3,2009,388.0
716,ICLEI: Local Government Operations Protocol,Police,0,3,2010,337.0
717,ICLEI: Local Government Operations Protocol,Police,0,3,2011,287.0
718,ICLEI: Local Government Operations Protocol,Police,0,3,2012,230.0
719,ICLEI: Local Government Operations Protocol,Police,0,3,2013,247.0
720,ICLEI: Local Government Operations Protocol,Police,0,3,2014,270.0
721,ICLEI: Local Government Operations Protocol,Police,0,3,2015,282.0
722,ICLEI: Local Government Operations Protocol,Police,0,3,2016,153.0
723,ICLEI: Local Government Operations Protocol,Police,0,3,2017,184.0
724,ICLEI: Local Government Operations Protocol,Police,0,3,2018,221.0
725,ICLEI: Local Government Operations Protocol,Police,0,3,2019,248.0
726,ICLEI: Local Government Operations Protocol,Police,0,3,2020,262.0
727,ICLEI: Local Government Operations Protocol,Police,0,3,2021,273.2
728,ICLEI: Local Government Operations Protocol,Police,3,4,2005,734.5620852323838
729,ICLEI: Local Government Operations Protocol,Police,3,4,2006,734.5620852323838
730,ICLEI: Local Government Operations Protocol,Police,3,4,2007,734.5620852323838
731,ICLEI: Local Government Operations Protocol,Police,3,4,2008,734.5620852323838
732,ICLEI: Local Government Operations Protocol,Police,3,4,2009,734.5620852323838
733,ICLEI: Local Government Operations Protocol,Police,3,4,2010,734.5620852323838
734,ICLEI: Local Government Operations Protocol,Police,3,4,2011,734.5620852323838
735,ICLEI: Local Government Operations Protocol,Police,3,4,2012,734.5620852323838
736,ICLEI: Local Government Operations Protocol,Police,3,4,2013,734.5620852323838
737,ICLEI: Local Government Operations Protocol,Police,3,4,2014,734.5620852323838
738,ICLEI: Local Government Operations Protocol,Police,3,4,2015,734.5620852323838
739,ICLEI: Local Government Operations Protocol,Police,3,4,2016,734.5620852323838
740,ICLEI: Local Government Operations Protocol,Police,3,4,2017,734.5620852323838
741,ICLEI: Local Government Operations Protocol,Police,3,4,2018,734.5620852323838
742,ICLEI: Local Government Operations Protocol,Police,3,4,2019,734.5620852323838
743,ICLEI: Local Government Operations Protocol,Police,3,4,2020,734.5620852323838
744,ICLEI: Local Government Operations Protocol,Police,3,4,2021,734.5620852323838
745,ICLEI: Local Government Operations Protocol,Police,0,5,2005,734.5620852323838
746,ICLEI: Local Government Operations Protocol,Police,0,5,2006,734.5620852323838
747,ICLEI: Local Government Operations Protocol,Police,0,5,2007,734.5620852323838
748,ICLEI: Local Government Operations Protocol,Police,0,5,2008,734.5620852323838
749,ICLEI: Local Government Operations Protocol,Police,0,5,2009,734.5620852323838
750,ICLEI: Local Government Operations Protocol,Police,0,5,2010,734.5620852323838
751,ICLEI: Local Government Operations Protocol,Police,0,5,2011,734.5620852323838
752,ICLEI: Local Government Operations Protocol,Police,0,5,2012,734.5620852323838
753,ICLEI: Local Government Operations Protocol,Police,0,5,2013,734.5620852323838
754,ICLEI: Local Government Operations Protocol,Police,0,5,2014,734.5620852323838
755,ICLEI: Local Government Operations Protocol,Police,0,5,2015,734.5620852323838
756,ICLEI: Local Government Operations Protocol,Police,0,5,2016,734.5620852323838
760,ICLEI: Local Government Operations Protocol,Police,0,5,2020,734.5620852323838
761,ICLEI: Local Government Operations Protocol,Police,0,5,2021,734.5620852323838
762,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2005,734.5620852323838
763,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2006,734.5620852323838
764,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2007,734.5620852323838
765,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2008,31.0
766,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2009,38.0
767,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2010,41.0
768,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2011,41.0
769,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2012,38.0
770,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2013,47.0
771,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2014,41.0
772,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2015,734.5620852323838
773,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2016,734.5620852323838
774,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2017,734.5620852323838
775,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2018,734.5620852323838
776,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2019,734.5620852323838
777,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2020,2.0
778,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,3,1,2021,0.0
779,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2005,734.5620852323838
780,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2006,734.5620852323838
781,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2007,734.5620852323838
782,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2008,734.5620852323838
783,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2009,734.5620852323838
784,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2010,734.5620852323838
785,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2011,734.5620852323838
786,ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,0,2,2012,734.5620852323838
